rank,name,zip,employees,revenues,latitude,longitude,profit
366,QUEST DIAGNOSTICS,7094,43000,7515,40.787834,-74.04493,645
448,REALOGY HOLDINGS,7940,11800,5810,40.77162,-74.42197,213
73,HONEYWELL INTERNATIONAL,7962,131000,39302,40.79199,-74.44436,4809
126,AFLAC,31999,10212,22559,32.46836,-84.96455,2659
243,HENRY SCHEIN,11747,21000,11572,40.76804,-73.4179,506.8
113,DUPONT,19898,46000,24594,39.74627,-75.54817,2513
482,CHEMOURS,19899,7000,5400,39.74627,-75.54817,7
424,AMPHENOL,6492,62000,6286,41.45986,-72.83263,822.9
262,LEUCADIA NATIONAL,10022,13000,10875,40.7601,-73.97416,130
459,S&P GLOBAL,10041,20000,5661,40.7032,-74.00914,2106
234,CONSOLIDATED EDISON,10003,14960,12075,40.73403,-73.98852,1245
218,GUARDIAN LIFE INS. CO. OF AMERICA,10004,8876,12919,40.70403,-74.00964,263.9
361,ASSURANT,10005,14700,7532,40.70809,-74.00935,565.4
14,VERIZON COMMUNICATIONS,10036,160900,125980,40.754677,-73.984931,13127
65,NEW YORK LIFE INSURANCE,10010,11320,40787,40.74324,-73.98606,1088.1
273,L-3 COMMUNICATIONS,10016,38000,10597,40.74935,-73.97595,710
335,PVH,10016,26650,8203,40.7488,-73.98239,549
444,AVON PRODUCTS,10006,26400,5853,40.710025,-74.010868,-107.6
189,INTL FCSTONE,10017,1464,14755,40.752557,-73.973738,54.7
21,J.P. MORGAN CHASE,10017,243355,105486,40.75598,-73.97599,24733
54,PFIZER,10017,96500,52824,40.75039,-73.97252,7215
104,PHILIP MORRIS INTERNATIONAL,10017,79500,26685,40.75168,-73.97843,6967
80,TIAA,10017,12997,37105,40.75318,-73.97332,1492.3
99,TRAVELERS COS.,10017,30900,27625,40.75408,-73.97349,3014
193,CBS,10019,18410,14386,40.76064,-73.97819,1261
95,TIME WARNER,10019,25000,29318,40.76769,-73.98228,3926
300,ALCOA,10022,14000,9318,40.75936,-73.9727,-400
30,CITIGROUP,10022,219000,82386,40.75901,-73.97153,14912
182,COLGATE-PALMOLIVE,10022,36700,15195,40.75705,-73.97471,2441
418,HRG GROUP,10022,16021,6403,40.76131,-73.97128,-198.8
179,OMNICOM GROUP,10022,78500,15417,40.757353,-73.975244,1148.6
371,RALPH LAUREN,10022,20500,7405,40.76404,-73.97166,396
428,ALLEGHANY,10036,3420,6131,40.75569,-73.98649,456.9
345,INTERPUBLIC GROUP,10036,49800,7847,40.75482,-73.98285,608.5
210,MARSH & MCLENNAN,10036,60000,13211,40.75676,-73.98177,1768
76,MORGAN STANLEY,10036,55311,37949,40.75998,-73.98551,5979
332,NEWS CORP.,10036,24000,8319,40.75867,-73.9824,179
101,TWENTY-FIRST CENTURY FOX,10036,21500,27326,40.75867,-73.9824,2755
224,VIACOM,10036,9650,12488,40.75793,-73.98644,1438
55,AIG,10038,56400,52367,40.70636,-74.00513,-849
475,AMTRUST FINANCIAL SERVICES,10038,8000,5451,40.70862,-74.00797,411
255,BLACKROCK,10055,13000,11155,40.75875,-73.97356,3172
213,LOEWS,10065,15800,13105,40.76459,-73.97049,654
348,FOOT LOCKER,10120,32965,7766,40.75,-73.98866,664
253,ESTEE LAUDER,10153,46000,11262,40.76391,-73.972322,1114.6
168,ICAHN ENTERPRISES,10153,90980,16348,40.76405,-73.97311,-1128
147,BRISTOL-MYERS SQUIBB,10154,25000,19427,40.75775,-73.97242,4457
78,GOLDMAN SACHS GROUP,10282,34400,37712,40.71473,-74.01444,7398
86,AMERICAN EXPRESS,10285,56400,33823,40.71392,-74.01469,5408
177,BANK OF NEW YORK MELLON CORP.,10286,52000,15683,40.71281,-74.015409,3547
380,HUNTINGTON INGALLS INDUSTRIES,23607,37000,7068,36.98823,-76.43717,573
284,NORFOLK SOUTHERN,23510,27856,9888,36.84548,-76.28802,1668
151,LEAR,48033,148400,18558,42.45125,-83.28132,975.1
490,KELLY SERVICES,48084,7500,5277,42.56084,-83.16604,120.8
142,PENSKE AUTOMOTIVE GROUP,48302,24000,20143,42.60254,-83.28796,342.9
353,PULTEGROUP,30326,4623,7669,33.847682,-84.368186,602.7
283,AUTOLIV,48326,65900,10074,42.6942,-83.27407,567.1
305,BORGWARNER,48326,27000,9071,42.64544,-83.21182,118.5
231,DEVON ENERGY,73102,3545,12197,35.46728,-97.51843,-3302
