block,avg_lat,avg_lng
BRUNSWICK ST 500,37.71018980425,-122.4444105155
DIVISADERO ST 3200,37.799548921875,-122.442761098125
WEST POINT RD 100,37.7358649341379,-122.381295682414
SELBY ST 500,37.7443535,-122.395986475
LEAVENWORTH ST 2300,37.8026134977778,-122.417859803889
KITTREDGE TER 0,37.7775799169231,-122.450557206923
MENDELL ST 400,37.74030438,-122.38486367
SAN BENITO WAY 0,37.7360360970833,-122.467233935833
OAKDALE AVE 1100,37.7297044616981,-122.381859818868
DE SOTO ST 100,37.7242561252174,-122.46532554913
BACON ST 500,37.7264815757143,-122.408035397143
WISSER CT 1300,37.798134715,-122.472512525
SERVICE ST 0,37.799062645,-122.4382252175
APPLETON AVE 0,37.7385169372222,-122.423398133333
MASON ST 500,37.78855619,-122.410104708
KEARNY ST 700,37.7947672427273,-122.404663142727
39TH AVE 1800,37.7523119393333,-122.497829276889
19TH ST 2000,37.7609853675,-122.4025651725
MARIPOSA ST 1700,37.76311946,-122.40095186
INGALLS ST 1400,37.7301302733333,-122.383252661111
41ST AVE 1200,37.7634666282456,-122.50076781193
BURROWS ST 1700,37.7247659275,-122.4204441875
31ST AVE 1400,37.7601198618182,-122.4897743625
ROOSEVELT WAY 500,37.7628222694872,-122.444553921282
SACRAMENTO ST 500,37.7940290755555,-122.402132707778
MARIETTA DR 100,37.7405576337255,-122.447427313333
SURREY ST 100,37.7359690275,-122.43486892625
TELEGRAPH PL 0,37.802958878,-122.407179738
APTOS AVE 100,37.7294055136842,-122.466952177368
BALTIMORE WAY 100,37.7086806695833,-122.432933472917
BUCHANAN ST 1800,37.787094196,-122.429911838
BENTON AVE 200,37.7329705891667,-122.422734165
FUNSTON AVE 1800,37.7533312944444,-122.470250862593
DE HARO ST 500,37.76279508,-122.401483911667
WILDER ST 0,37.7340883908696,-122.432867166957
MADISON ST 300,37.724790820303,-122.422086518182
18TH ST 1600,37.7619488163636,-122.398776921818
DUNCAN ST 800,37.7453985651724,-122.43904070931
TILLMAN PL 0,37.7893838733333,-122.405597923333
WALLER ST 500,37.770876223871,-122.432680235806
GLENDALE ST 0,37.7562964366667,-122.442667041667
CORNWALL ST 100,37.784817724,-122.46077598
FOLSOM ST 800,37.7811277165517,-122.402540858966
MCALLISTER ST 2600,37.7756642054762,-122.455655557857
NELSON RISING LN 500,37.76958896,-122.38996772
CHERRY ST 200,37.7882439727273,-122.457167878182
HERMANN ST 100,37.7707629167857,-122.427747871786
SAN JOSE AVE 2700,37.7136600581818,-122.453098037273
JAMESTOWN AVE 0,37.71499245,-122.38863518
RIVOLI ST 0,37.7625560095455,-122.448642021364
MAXWELL CT 0,37.7670020134615,-122.423090000962
FRANKLIN ST 100,37.7758128855556,-122.421112738889
LIBERTY ST 500,37.7569737156098,-122.43336543561
SANTA MONICA WAY 0,37.7386909556,-122.4646436204
CALIFORNIA ST 6600,37.7835511444444,-122.488795847778
MIDDLE POINT RD 100,37.7354745642857,-122.379574036905
BUCHANAN ST 2600,37.7942496713333,-122.431438543333
25TH AVE 2900,37.7334102704,-122.4810712336
WILDE AVE 100,37.71641767,-122.400722805556
03RD ST 5500,37.7274826211111,-122.393452798889
NORDHOFF ST 0,37.7337750818518,-122.440918782593
DUNNES ALY 0,37.79849687,-122.404884245
ELLIS ST 800,37.7839611781818,-122.420181184545
47TH AVE 2400,37.7407780195652,-122.505637175
DR TOM WADDELL PL 0,37.77799112,-122.41862061
INGALLS ST 3200,37.7187639069231,-122.393329443846
VAN NESS AVE 1000,37.7854149053333,-122.420975326
